hour,dayofweek,char_count,total_words,num_exclaim,clean_text,target_reaction
6,3,81,16,3,happy birthday dearrr can t wait for tonighttt come over earlier around 8 30 or 9,1
6,3,43,10,0,lmao that s just what he wants you to think,1
6,3,78,14,0,tweeple you is down with the lingo innit but okay thanks for the clarification,1
6,3,35,7,0,picking up my mom and going tanning,1
6,3,102,22,1,that is actually an awesome idea i ll have to check ticket prices to make sure it won t break the bank,1
6,3,97,19,0,i would be worried for you but since you re a superstar im confident you will get everything done,1
6,3,52,12,1,i always eat s it s the high metabolism oh well haha,1
6,3,61,13,12,me 2 argh excited im glad u finally get to see james morrison,1
6,3,49,11,0,visit s post for this week s prayer amp praise at,1
6,3,36,9,1,had to wake up to feed the baby lamb,1
6,3,82,16,3,spent the afternoon on this steed always good 2 keep a tidy garden lady garden lol,1
6,3,117,24,0,a cause is worth fighting for two reasons to win it or to gain political capital which one would u reckon is the case,1
6,3,61,11,0,add this to your indomitablility and you llbe the perfect man,1
6,3,6,1,0,thanks,1
6,3,59,11,0,working out discounts to make easter just that bit more fun,1
6,3,117,28,1,quot i didn t know it was that free quot and w that i must try 2 get a few hours of sleep nite my fellow cleudo phile,1
6,3,108,21,4,gotta seize the day and a starbucks then to get me movtivated i need my dose of coaching absolutely the best,1
6,3,27,6,0,nice work you are super mom,1
6,3,94,19,0,i could spend an entire day writing witty responses to tweets and it would be a day well spent,1
6,3,121,29,0,wait until you come to kansas i will show you the sites in our town hit me up amp i will be glad to do it take care joyce,1
6,3,11,2,0,whipped ass,1
6,3,96,21,1,hey was that an old lady joke on your page forty is the new thirty hope you had a great birthday,1
6,3,62,13,0,ahh well im off doing my work leave me song names please byeee,1
6,3,77,14,0,remember that crazy ass rollercoaster i showed you i m going in there tuesday,1
6,3,129,28,3,had a wonderful dream about her future husband cant remember it now but i woke up with a smile on my face its gonna be a good day,1
6,3,42,8,0,the fat purple glue stick makes me happier,1
6,3,54,11,3,ready for sun and warmth working till 3 then who knows,1
6,3,104,21,2,hahaha 2 computers pimpin i should try to sleep i have to run errands in a few hours hahaha nighty night,1
6,3,34,7,0,i wonder whats its store for today,1
6,3,72,12,0,do these virtual volumes mean you can have different filesystems say zfs,1
6,3,29,7,0,i am but for once not kicking,1
6,3,73,15,4,great news i and nooly just got news that my patent was approved in china,1
6,3,10,2,1,yeahh baby,1
6,3,101,20,0,yay australian internet is going to be way faster oh wait that s in eight years only eight more years,1
6,3,54,13,0,you have an iphone vest that s all you need to be cool,1
6,3,89,18,0,off to save the world in my cubicle final sunny day in seattle a moment of silence please,1
6,3,37,6,0,thanks for clicking the follow button,1
6,3,120,20,0,i dont have anythin important to say just letting you know that youre beautiful although you blatently already knew that,1
6,3,58,11,0,is feeling much better after plodding along at work er wtf,1
6,3,28,7,0,bowls are 2 for 12 this week,1
6,3,87,16,0,is emotionally tougher than she s ever been in her entire life bam goodbye shit friends,1
6,3,93,18,0,looool jus anotherr crazyy fann omgg as longg as u dnt start beinn like mrs humess itss finee,1
6,3,130,24,0,low on twitter today due to hard work on finishing the floor living and kitchen are ready 100m2 now working on hall and bykitchten,1
6,3,71,17,0,for once i know what time zone i am in and as a result forget the month,1
6,3,101,17,0,oooookay video done no thanks to imovie now really really need to sleep more sensible tweets tomorrow,1
6,3,23,6,0,i have such a great mom,1
6,3,122,26,0,lol i m getting stuff copyrighted but i just remembered that my job sells books of stamps for 7 bucks so i m good now hehe,1
6,3,78,17,2,it is such a good movie yeahh always makes me feel so much happier dot dot dot,1
6,3,15,2,0,godbless coffee,1
6,3,90,21,0,oh i didnt think of that i only have to shave my beard once every other day so its not bad,1
6,3,48,10,2,another year older today at least it s sunny out,1
6,3,46,10,0,just got home haha trying to get some rest now,1
6,3,8,2,0,it sucks,1
6,3,14,4,0,yeah that s it,1
6,3,40,8,1,oooh looks good how hearty are the boxes,1
6,3,95,21,0,5k run 1 mile walk for lifespan see quest for hope link for details or drop me a note fun event,1
6,3,89,20,1,oh summer where are you please get here fast so i can go to destin and relax on the beach,1
6,3,12,3,0,will play rc,1
6,3,105,20,1,good morning nebraska the wind has died down the sun is shining still colder than cold though wear a coat,1
6,3,103,20,0,i love that you guys have fully embraced twitter because we love knowing what you re doing all the time,1
6,3,107,24,0,is hoping that everyone can hang in there for one more day of cold i see the light at the end of the tunnel,1
6,3,22,4,0,please note the quotes,1
6,3,17,4,4,she s almost here,1
6,3,118,24,1,a food turing test now that s idea for a sci fi short story it ll involve tea too of course amp infinite improvability,1
6,3,12,3,0,ish now home,1
6,3,103,17,0,losing all this weight has me really looking forward to buckling an intamin seat belt without straining,1
6,3,129,26,0,figured out how to add a twitter ad to header of my wordpress blog go to settings then tagline may be useful for all you tweeters,1
6,3,93,20,1,good mornin time to get ready for work n try to win these day26 tix again wish me luck please,1
