hour,dayofweek,char_count,total_words,num_exclaim,clean_text,target_reaction
8,2,41,9,0,trying to set up the drum kit and failing,0
8,2,78,15,0,sadly the media appears to find more profit in reporting the bad than the good,0
8,2,40,9,2,you still feel like crap i just throw up,0
8,2,30,6,0,i miss having internet at home,0
8,2,17,4,0,no more mon dates,0
8,2,48,12,2,oh no i lost a follower am i boring hehe oh well,0
8,2,45,9,0,is not looking forward for a math final today,0
8,2,101,23,0,i wish i could cook korean bbq i d be so on it in a heartbeat doesn t look like they franchise either,0
8,2,47,9,0,gettin ready to go to work boooooo hate working,0
8,2,59,12,3,not good gunna be well bored on a saturday night without it,0
8,2,29,7,1,go away sun not now you bitch,0
8,2,23,4,0,marking coffee and cake,0
8,2,93,20,0,i can t find my notebookand i want to finish my script why oh why does this always happen fml,0
8,2,45,8,0,new desk is in such an uncomfortable position,0
8,2,60,13,0,its raining right now and i wanted to leave early in an hour,0
8,2,13,2,0,what happened,0
8,2,118,27,0,i still need 3 or 4 extra hours of sleep to recover from last weekend it d also be nice if i didn t have shitty dreams,0
8,2,36,7,0,i wish my daughters bangs would grow,0
8,2,59,11,0,marley and abby killed and brought me 3 little baby bunnies,0
8,2,40,10,1,i love to lolbate i wish i had a bathtub,0
8,2,59,13,0,is back on this damn thing and has forgotten how to work it,0
8,2,92,18,0,i guess my physics final isn t till wednesday i thought it was tomorrow sucks i hate waiting,0
8,2,47,9,2,internal bleeding and sickness is no fun fix me,0
8,2,43,10,1,i m going to revise again exams i hate that,0
8,2,38,7,1,has dust allergies this sucks big time,0
8,2,62,10,0,another crazy morning at work too much traffic servers melting,0
8,2,59,12,3,don t feel good throat hurts along with my whole body ughhh,0
8,2,38,10,0,i want if i hadn t started mine in jan,0
8,2,56,10,0,back in exeter after a ridiculous journey exam on wednes,0
8,2,79,17,0,i am most upset that i ate all the potato waffles there are none left a tragedy,0
8,2,21,6,0,at work i hate my job,0
8,2,42,9,1,i am so hungry i hate not eating breakfast,0
8,2,63,11,0,really craving some chocolate i think i should continue my diet,0
8,2,44,9,1,tired like hell even skipped the gym damn it,0
8,2,113,26,1,i think i ll go for a shower then revise english lit but secretly i ve no idea how to do i just keep reading help,0
